manager_true_ultimate_parent_country_of_headquarters,financial_flow_link_strength,amount_usd_m_alpha_var,amount_usd_m,rank,pct
United Arab Emirates,Low,385.0700728490878,1607.805482875922,19,0.002860553352202562
United Arab Emirates,Medium,1179.5780566807055,1607.805482875922,19,0.002860553352202562
United Arab Emirates,High,43.15735334612882,1607.805482875922,19,0.002860553352202562
United Kingdom,Low,48952.10706087507,71518.46869408076,3,0.12724325022284724
United Kingdom,Medium,19811.512288948765,71518.46869408076,3,0.12724325022284724
United Kingdom,High,2754.8493442569215,71518.46869408076,3,0.12724325022284724
United States of America,Low,79246.4983787442,118013.98595805519,1,0.20996650822166218
United States of America,Medium,34108.479433653956,118013.98595805519,1,0.20996650822166218
United States of America,High,4659.008145657039,118013.98595805519,1,0.20996650822166218
Unknown,Low,5795.2487456929775,8552.983671965329,13,0.015217180420613303
Unknown,Medium,1329.485601655668,8552.983671965329,13,0.015217180420613303
Unknown,High,1428.2493246166837,8552.983671965329,13,0.015217180420613303
Venezuela,Low,72.28301696654329,72.28301696654329,43,1.286035087535007e-4
