,query,source,CommonName,OAPermID,ParentOrganisationName,ParentCompanyOAPermID,UltimateParentOrganisationName,UltimateParentCompanyOAPermID,query_clean,CommonName_clean,similarity,gaps,has_government_parent,manual_check_needed
292,mitonali s a s,GFW,,,,,,,mitonali s a s, na ,33.333,True,False,TRUE
293,soc de comercializacion intl grupo tiuna ltda,GFW,,,,,,,soc de comercializacion intl grupo tiuna ltda, na ,16.327,True,False,TRUE
294,vectra intl colombia s a s,GFW,,,,,,,vectra intl colombia s a s, na ,26.667,True,False,TRUE
295,agroindustrias asaf s a s,GFW,,,,,,,agroindustrias asaf s a s, na ,20.69,True,False,TRUE
296,angleton group s a s,GFW,Angleton Group S A S,5083053782,,,,,angleton group s a s,angleton group s a s,100.0,True,False,TRUE
297,procesadora de carnes de santander s a,GFW,Procesadora De Carnes De Santander S A,5063337626,Procesadora De Carnes De Santander S A,5063337626,Procesadora De Carnes De Santander S A,5063337626,procesadora de carnes de santander s a,procesadora de carnes de santander s a,100.0,False,False,FALSE
298,red carnica s a s,GFW,Red Carnica S A S,5045250400,Red Carnica S A S,4295859969,Red Carnica S A S,4295859969,red carnica s a s,red carnica s a s,100.0,False,False,FALSE
299,alims carnicos s a s,GFW,,,,,,,alims carnicos s a s, na ,33.333,True,False,TRUE
300,american trade s a s,GFW,American Trade Services Inc,5001136827,,,,,american trade s a s,american trade services inc,72.34,True,False,TRUE
301,oregon foods sac,GFW,Oregon Foods SAC,5063349770,,,,,oregon foods sac,oregon foods sac,100.0,True,False,TRUE
302,cialzdora derivados carnicos s a s,GFW,,,,,,,cialzdora derivados carnicos s a s, na ,21.053,True,False,TRUE
303,c i cg export e u,GFW,,,,,,,c i cg export e u, na ,19.048,True,False,TRUE
304,curtidos de colombia group s a s,GFW,Curtidos De Colombia Group S A S,5086408771,,,,,curtidos de colombia group s a s,curtidos de colombia group s a s,100.0,True,False,TRUE
305,colcocoa s a s,GFW,,,,,,,colcocoa s a s, na ,33.333,True,False,TRUE
306,compania colombiana agroindustrial sas,GFW,,,,,,,compania colombiana agroindustrial sas, na ,19.048,True,False,TRUE
307,compania nacional de chocolates sas,GFW,,,,,,,compania nacional de chocolates sas, na ,20.513,True,False,TRUE
308,fed nal de cacaoteros,GFW,,,,,,,fed nal de cacaoteros, na ,32.0,True,False,TRUE
309,mariana cocoa export ltd,GFW,,,,,,,mariana cocoa export ltd, na ,21.429,True,False,TRUE
310,sucesores de jose jesus restrepo y cia s a,GFW,Sucesores De Jose Jesus Restrepo Y Compania S A,4297171622,Sucesores De Jose Jesus Restrepo Y Compania S A,4297171622,Sucesores De Jose Jesus Restrepo Y Compania S A,4297171622,sucesores de jose jesus restrepo y cia s a,sucesores de jose jesus restrepo y compania s a,94.382,False,False,FALSE
311,surcacao s a s,GFW,,,,,,,surcacao s a s, na ,33.333,True,False,TRUE
312,cafexport s a r l suc col,GFW,,,,,,,cafexport s a r l suc col, na ,20.69,True,False,TRUE
313,cia col de cacao s a s,GFW,,,,,,,cia col de cacao s a s, na ,23.077,True,False,TRUE
